MKT_TP_CODE	SCR_CODE	SCR_NM	ENSCR_NM	TRDUNIT	MONEYTYPE	CAPITAL	CIRCULATSTOCK	ASSETSPERSHARE	LSTINCPERSHARE	CURINCPERSHARE	VOL_BASE_RATIO	RECTIME
1	019221	12国债21		10	0	29010000000	29010000000	0	0	0	0	20160307172318
1	019301	13国债01		10	0	48000000000	48000000000	0	0	0	0	20160307172318
1	019303	13国债03		10	0	82000000000	82000000000	0	0	0	0	20160307172318
1	019305	13国债05		10	0	78790000000	78790000000	0	0	0	0	20160307172318
1	019308	13国债08		10	0	91720000000	91720000000	0	0	0	0	20160307172318
1	019309	13国债09		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019310	13国债10		10	0	20000000000	20000000000	0	0	0	0	20160307172318
1	019311	13国债11		10	0	90000000000	90000000000	0	0	0	0	20160307172318
1	019313	13国债13		10	0	60000000000	60000000000	0	0	0	0	20160307172318
1	019315	13国债15		10	0	90150000000	90150000000	0	0	0	0	20160307172318
1	019316	13国债16		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019317	13国债17		10	0	60020000000	60020000000	0	0	0	0	20160307172318
1	019318	13国债18		10	0	111880000000	111880000000	0	0	0	0	20160307172318
1	019319	13国债19		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019320	13国债20		10	0	88890000000	88890000000	0	0	0	0	20160307172318
1	019323	13国债23		10	0	57210000000	57210000000	0	0	0	0	20160307172318
1	019324	13国债24		10	0	20000000000	20000000000	0	0	0	0	20160307172318
1	019325	13国债25		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	019401	14国债01		10	0	38000000000	38000000000	0	0	0	0	20160307172318
1	019403	14国债03		10	0	66000000000	66000000000	0	0	0	0	20160307172318
1	019404	14国债04		10	0	84590000000	84590000000	0	0	0	0	20160307172318
1	019405	14国债05		10	0	84970000000	84970000000	0	0	0	0	20160307172318
1	019406	14国债06		10	0	84080000000	84080000000	0	0	0	0	20160307172318
1	019408	14国债08		10	0	57000000000	57000000000	0	0	0	0	20160307172318
1	019409	14国债09		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019410	14国债10		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019412	14国债12		10	0	84010000000	84010000000	0	0	0	0	20160307172318
1	019413	14国债13		10	0	84030000000	84030000000	0	0	0	0	20160307172318
1	019415	14国债15		10	0	23390000000	23390000000	0	0	0	0	20160307172318
1	019416	14国债16		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019417	14国债17		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019419	14国债19		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019420	14国债20		10	0	56100000000	56100000000	0	0	0	0	20160307172318
1	019421	14国债21		10	0	85790000000	85790000000	0	0	0	0	20160307172318
1	019424	14国债24		10	0	84180000000	84180000000	0	0	0	0	20160307172318
1	019425	14国债25		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019426	14国债26		10	0	56040000000	56040000000	0	0	0	0	20160307172318
1	019427	14国债27		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019429	14国债29		10	0	68240000000	68240000000	0	0	0	0	20160307172318
1	019430	14国债30		10	0	25000000000	25000000000	0	0	0	0	20160307172318
1	019502	15国债02		10	0	60000000000	60000000000	0	0	0	0	20160307172318
1	019503	15国债03		10	0	70410000000	70410000000	0	0	0	0	20160307172318
1	019504	15国债04		10	0	80050000000	80050000000	0	0	0	0	20160307172318
1	019505	15国债05		10	0	90320000000	90320000000	0	0	0	0	20160307172318
1	019506	15国债06		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019507	15国债07		10	0	90120000000	90120000000	0	0	0	0	20160307172318
1	019508	15国债08		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019509	15国债09		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019510	15国债10		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019511	15国债11		10	0	90120000000	90120000000	0	0	0	0	20160307172318
1	019512	15国债12		10	0	90050000000	90050000000	0	0	0	0	20160307172318
1	019513	15国债13		10	0	51160000000	51160000000	0	0	0	0	20160307172318
1	019514	15国债14		10	0	90040000000	90040000000	0	0	0	0	20160307172318
1	019515	15国债15		10	0	22100000000	22100000000	0	0	0	0	20160307172318
1	019516	15国债16		10	0	90000000000	90000000000	0	0	0	0	20160307172318
1	019517	15国债17		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019518	15国债18		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019519	15国债19		10	0	86100000000	86100000000	0	0	0	0	20160307172318
1	019520	15国债20		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019521	15国债21		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019522	15国债22		10	0	86000000000	86000000000	0	0	0	0	20160307172318
1	019523	15国债23		10	0	104000000000	104000000000	0	0	0	0	20160307172318
1	019524	15国债24		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019525	15国债25		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019526	15国债26		10	0	104010000000	104010000000	0	0	0	0	20160307172318
1	019527	15国债27		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019528	15国债28		10	0	26000000000	26000000000	0	0	0	0	20160307172318
1	019529	16国债01		10	0	20000000000	20000000000	0	0	0	0	20160307172318
1	019530	16国债02		10	0	40000000000	40000000000	0	0	0	0	20160307172318
1	019531	16国债03		10	0	40000000000	40000000000	0	0	0	0	20160307172318
1	019532	16国债04		10	0	40000000000	40000000000	0	0	0	0	20160307172318
1	019533	16国债05		10	0	40000000000	40000000000	0	0	0	0	20160307172318
1	019802	08国债02		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019803	08国债03		10	0	27940000000	27940000000	0	0	0	0	20160307172318
1	019806	08国债06		10	0	28000000000	28000000000	0	0	0	0	20160307172318
1	019810	08国债10		10	0	26650000000	26650000000	0	0	0	0	20160307172318
1	019813	08国债13		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	019818	08国债18		10	0	24360000000	24360000000	0	0	0	0	20160307172318
1	019820	08国债20		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	019823	08国债23		10	0	24000000000	24000000000	0	0	0	0	20160307172318
1	019825	08国债25		10	0	25370000000	25370000000	0	0	0	0	20160307172318
1	019902	09国债02		10	0	22000000000	22000000000	0	0	0	0	20160307172318
1	019903	09国债03		10	0	26000000000	26000000000	0	0	0	0	20160307172318
